index,correlation,MAE,max_absolute_difference
ARVI,-0.27335524768768027,0.21284758278093263,2.862354238477889
BSI,0.9822319014267388,0.04332234380063533,0.3538303435495446
CDI,1.0,0.0,0.0
EVI,0.7770905059125427,0.26793714630802484,5.607759139412616
GNDVI,0.9697533371087308,0.03859956233033815,0.44582858315384255
MNDWI,0.9647077518018995,0.04779351207623094,0.6676931614120555
MSAVI,0.9355223900704643,0.053974663604528954,0.6130887476386195
NBR,0.8331127354565305,0.008888863251783603,0.21113453242236832
NDMI,0.8331127354565305,0.008888863251783603,0.21113453242236832
NDRE,0.954973189930663,0.02821843931529184,0.3415225175291479
NDVI,0.9579609657378322,0.04035133831498222,0.46796578122215987
NDWI,0.8331127354565305,0.008888863251783603,0.21113453242236832
SAVI,0.9583126492640374,0.06028531334001316,0.7018629386782451
